Country Name,"Life expectancy at birth, total (years)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Prevalence of undernourishment (% of population),"Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (CHE) per capita in US$,GDP per capita (current US$),"International migrant stock, total",Net Migration,Refugee population by country or territory of asylum,Refugee population by country or territory of origin,"Population, total",Population ages 0-14 (% of total population),Population density (people per sq. km of land area),Urban Population,Population living in slums (% of urban population),Poverty headcount ratio at national poverty lines (% of population)
Portugal,80.68292683,8.4,10.9,2.5,99,2221,23330.81729,837257,-30001,2375,25,10286263,13.25208506,112.2885828,6764658,3.599999905,17.2
Paraguay,74.254,20.341,5.539,9.2,86,388.4,5380.963322,156462,-82780,1014,84,7044639,29.17933588,17.73128366,4359152,17.10000038,24.2
West Bank and Gaza,74.053,28.717,3.455,,,,3656.858271,255507,-52816,2319073,96253,4685306,38.64966214,778.2900332,3581448,,
Pacific island small states,70.07973149,25.75056691,6.303145828,9.296311097,91.2603246,,4270.411064,48359,-63416,767,664,2491878,34.8907633,38.81429907,971682,,
Post-demographic dividend,80.79472234,9.577868355,9.51657543,2.50460735,94.1934267,,45819.48008,132210514,13892345,3368753,117688,1112709542,16.02214876,35.49475969,906540165,,
French Polynesia,77.657,14.427,5.742,3.8,,,,30058,-5000,,,279285,22.5638859,79.34232955,172869,,
Qatar,80.227,9.385,1.244,,98,1807,62276.42869,1687640,200000,202,36,2832071,13.5959001,246.4813751,2809075,,
Romania,75.45853659,9.6,13.4,2.5,88,738.6,12899.34611,226943,-369997,3860,1352,19371648,15.57395813,84.19527121,10476962,12.10000038,23.8
Russian Federation,73.08390244,9.8,13.3,2.5,97,653.4,11497.64925,11643276,912279,42413,62353,144406261,18.15492454,8.817695994,107708298,,12.6
Rwanda,69.024,31.249,5.123,35.2,98,51.4,820.1492886,441525,-44998,145054,246407,12626938,39.76603218,511.8337252,2186102,42.09999847,
South Asia,69.64361743,19.16397733,7.023821061,14.46777508,88.21420101,,1959.525845,11377262,-6215366,2562316,3024299,1835776769,28.00686448,384.7980359,632092773,37.65609474,
Saudi Arabia,75.133,17.297,3.505,3.9,96,1316,23139.79798,10185945,674895,315,1721,34268529,24.86598199,15.94114919,28807839,16.20000076,
Sudan,65.311,31.826,7.117,12.3,93,46.93,610.9278615,503477,-250001,1055489,734780,42813237,40.15570605,23.15187997,14957232,88.40000153,
Senegal,67.941,33.952,5.596,7.5,93,59.1,1430.148259,263242,-100001,14467,17208,16296362,42.83986907,84.64323482,7765705,29.5,
Singapore,83.49756098,8.8,5,,96,2633,65640.70795,2543638,135142,,39,5703569,12.33150315,8044.526093,5703569,,
Solomon Islands,72.996,31.956,4.232,16.5,94,111.9,2344.048976,2585,-7998,,34,669821,40.13119884,23.93072526,162164,,
Sierra Leone,54.696,32.879,11.512,26.2,95,46.16,521.7548367,91213,-21000,441,5288,7813207,40.72431131,108.2461485,3319363,59.09999847,56.8
El Salvador,73.317,18.054,7.07,8.5,81,300.1,4167.730939,42045,-202694,48,41816,6453550,26.85844526,311.4647683,4694699,22.39999962,
San Marino,,6.7,7.2,,88,3051,47731.20854,4717,,,,33864,,564.4,32973,,
Somalia,57.397,41.585,10.669,59.5,42,,419.3948077,25291,-200002,17882,901596,15442906,46.37950567,24.61648548,7034861,72.09999847,
Serbia,75.68536585,9.3,14.6,3.9,97,641,7417.203649,807441,20000,26427,31251,6945235,15.54094253,79.41041619,3907389,3.599999905,23.2
Sub-Saharan Africa (excluding high income),61.6263562,34.79179677,8.419989468,20.34107657,73.44943023,,1628.841127,18664039,-1813121,6402985,7290851,1106860245,42.28424024,46.40463649,450617544,53.59901183,
South Sudan,57.846,34.653,10.342,,49,22.64,,824122,-870998,298309,2234805,11062114,41.56805305,17.50533581,2201250,91.40000153,
Sub-Saharan Africa,61.62744251,34.79017476,8.419961247,20.34107657,73.4505824,,1630.127378,18676830,-1814121,6402985,7290866,1106957870,42.28260467,46.40783439,450673306,53.59901183,
Small states,69.77084699,21.68610789,7.207745806,12.86952864,87.24027254,,12594.67689,4583559,319841,58366,39870,41254526,28.96234686,16.49302951,24405056,,
Sao Tome and Principe,70.385,31.152,4.761,11.9,95,108.5,1987.579702,2394,-8401,,28,215048,42.14669667,224.0083333,158271,85.69999695,
Suriname,71.682,18.295,7.393,8.7,77,619.3,6853.693411,46836,-4999,44,17,581363,26.91185678,3.726685897,384252,5.900000095,
Slovak Republic,77.47073171,10.5,9.8,4,97,,19303.54566,177190,7423,965,1343,5454147,15.52774384,113.4389975,2930459,,11.9
Slovenia,81.2804878,9.3,9.9,2.5,95,2219,25942.95477,235966,9999,741,19,2088385,15.10564048,103.7119346,1144894,3.700000048,12
Sweden,82.95853659,11.1,8.6,2.5,98,5671,51939.42974,1639771,200000,253787,13,10278887,17.62549023,25.23602907,9015406,0.001,17.1
Eswatini,60.194,25.881,9.059,11.6,90,264.1,3915.643467,31579,-41764,940,224,1148133,37.83143024,66.7519186,275334,32.09999847,
Sint Maarten (Dutch part),,,,,,,,27295,,5,,40733,,1198.029412,40733,,
Seychelles,73.94390244,16.4,8.1,,99,839.8,16213.48076,12791,-1000,,15,97625,23.73873275,212.2282609,55762,,25.3
Syrian Arab Republic,72.697,23.22,5.112,,54,,1334.370593,875189,-2136954,578525,6615249,17070132,31.05803205,92.95938572,9358017,37.90000153,
Turks and Caicos Islands,,,,,,,31350.86663,11688,,5,14,38194,,40.20421053,35658,,
Chad,54.239,41.665,11.907,31.7,50,29.85,709.5400432,516968,10000,442670,11163,15946882,46.82094474,12.66429638,3712275,86.90000153,42.3
East Asia & Pacific (IDA & IBRD countries),75.44843511,12.73829965,6.937576382,4.064287302,92.42458005,,8235.583677,8291158,-3763991,551474,1642060,2078012370,20.36111218,130.6992034,1174470595,26.39512073,
Europe & Central Asia (IDA & IBRD countries),74.29800572,13.20765732,10.3061931,2.686126013,95.48094425,,9013.795649,29325118,1324001,3723050,344746,460788476,20.61154239,20.04361989,305238750,,
Togo,61.042,32.707,8.324,20.4,84,51.16,893.3524541,276844,-9999,11964,8034,8082359,40.9983537,148.6000919,3414635,54.29999924,
Thailand,77.15,10.168,7.786,8.2,97,296.2,7817.009671,3913258,97222,97556,171,69625581,16.82353621,136.28292,35294600,23.70000076,9.9
Tajikistan,71.097,30.038,4.767,,97,61.87,890.5444024,275059,-99999,3788,1987,9321023,37.07107958,67.15918294,2545478,26,27.4
Turkmenistan,68.191,23.066,7.04,4.1,99,500,7612.03518,196386,-25001,21,478,5942094,30.75829056,12.64463644,3092741,,
Latin America & the Caribbean (IDA & IBRD countries),75.52038777,16.28297865,6.31409156,7.818051664,80.39486856,,8525.421861,8353697,-2050462,257589,432300,630644771,24.39345929,31.66925717,510155980,21.0040717,
Timor-Leste,69.495,29.284,5.943,22.6,83,92.67,1583.713576,10834,-26924,,17,1293120,37.29208217,86.96166779,400182,33.40000153,
Middle East & North Africa (IDA & IBRD countries),73.77423568,23.04888001,5.20120866,11.82404674,89.62504138,,3447.243891,11172166,-3144500,6848435,7182032,384771769,30.99151857,44.55920028,237505723,25.20530372,
Tonga,70.907,24.01,7.102,,99,242.4,4903.012138,5731,-3999,,32,104497,35.07282715,145.1347222,24146,,
South Asia (IDA & IBRD),69.64361743,19.16397733,7.023821061,14.46777508,88.21420101,,1959.525845,11377262,-6215366,2562316,3024299,1835776769,28.00686448,384.7980359,632092773,37.65609474,
Sub-Saharan Africa (IDA & IBRD countries),61.62744251,34.79017476,8.419961247,20.34107657,73.4505824,,1630.127378,18676830,-1814121,6402985,7290866,1106957870,42.28260467,46.40783439,450673306,53.59901183,
Trinidad and Tobago,73.507,12.578,8.5,6.7,93,1168,16637.16294,49883,-3999,2308,307,1394969,20.26118068,271.9237817,741942,5.400000095,
Tunisia,76.699,17.089,6.257,3,92,233.1,3574.654024,56701,-20000,1732,2068,11694721,24.22609727,75.27498069,8099062,8.199999809,
Turkey,77.691,15.782,5.443,2.5,99,396.5,9121.515167,2964916,1419610,3579531,83239,83429607,24.29082287,108.4022283,63097812,8.600000381,14.4
Tuvalu,,,,,92,972.6,4055.89561,141,,,,11655,,388.5,7368,,
Tanzania,65.456,36.336,6.254,25.1,89,,1085.88486,261222,-200381,242171,695,58005461,43.84380657,65.48369948,20011884,40.09999847,
Uganda,63.368,37.377,6.381,,93,32.41,798.5857341,749471,843469,1359458,7301,44269587,46.50001534,220.7739228,10784514,48.29999924,20.3
Ukraine,71.82731707,8.1,14.7,2.5,80,248.1,3661.456204,4834898,50001,2166,59844,44386203,15.93971837,76.60718502,30836427,19,
Upper middle income,75.94693139,12.62841115,7.347711286,4.136490029,92.69104694,,9572.872787,45118202,2160684,9137228,1073635,2510772964,20.22874521,46.87113167,1675384608,22.54707685,
Uruguay,77.911,13.74,9.473,2.5,94,1661,17688.01501,71799,-15000,498,15,3461731,20.45807101,19.77905954,3303391,,
United States,78.78780488,11.4,8.7,2.5,94,,65279.52903,46627102,4774029,341715,298,328329953,18.54931712,35.89317567,270737596,,
